,Label
0,camera
1,value for money
2,display
3,battery
4,display
5,value for money
6,value for money
7,camera
8,camera
9,value for money
10,display
11,display
12,display
13,camera
14,display
15,camera
16,camera
17,camera
18,display
19,performance
20,camera
21,battery
22,battery
23,performance
24,value for money
25,performance
26,performance
27,value for money
28,value for money
29,value for money
30,value for money
31,display
32,performance
33,camera
34,camera
35,performance
36,camera
37,performance
38,value for money
39,value for money
40,camera
41,display
42,camera
43,camera
44,display
45,camera
46,camera
47,camera
48,performance
49,camera
50,camera
51,value for money
52,camera
53,value for money
54,performance
55,camera
56,camera
57,value for money
58,performance
59,performance
60,camera
61,value for money
62,display
63,battery
64,display
65,display
66,camera
67,performance
68,display
69,camera
70,camera
71,display
72,performance
73,value for money
74,value for money
75,camera
76,camera
77,performance
78,display
79,performance
80,display
81,camera
82,camera
83,value for money
84,display
85,display
86,battery
87,display
88,camera
89,camera
90,value for money
91,performance
92,value for money
93,display
94,value for money
95,value for money
96,camera
97,value for money
98,camera
99,display
100,camera
101,value for money
102,performance
103,display
104,camera
105,camera
106,performance
107,display
108,camera
109,value for money
110,performance
111,performance
112,camera
113,display
114,value for money
115,value for money
116,display
117,camera
118,camera
119,camera
120,display
121,performance
122,camera
123,performance
124,camera
125,camera
126,display
127,performance
128,value for money
129,camera
130,performance
131,camera
132,display
133,camera
134,performance
135,camera
136,performance
137,value for money
138,value for money
139,camera
140,performance
141,value for money
142,display
143,value for money
144,display
145,display
146,camera
147,battery
148,performance
149,value for money
150,value for money
151,performance
152,camera
153,performance
154,display
155,camera
156,camera
157,camera
158,performance
159,camera
160,performance
161,camera
162,camera
163,value for money
164,display
165,camera
166,value for money
167,performance
168,camera
169,camera
170,camera
171,camera
172,performance
173,display
174,camera
175,battery
176,performance
177,camera
178,performance
179,display
180,performance
181,camera
182,camera
183,value for money
184,camera
185,camera
186,camera
187,camera
188,camera
189,camera
190,performance
191,performance
192,camera
193,value for money
194,camera
195,camera
196,display
197,value for money
198,display
199,camera
200,performance
201,value for money
202,battery
203,performance
204,camera
205,camera
206,value for money
207,value for money
208,value for money
209,camera
210,battery
211,display
212,battery
213,camera
214,performance
215,performance
216,camera
217,camera
218,performance
219,performance
220,camera
221,camera
222,value for money
223,value for money
224,value for money
225,performance
226,performance
227,performance
228,display
229,camera
230,camera
231,performance
232,performance
233,battery
234,display
235,value for money
236,value for money
237,performance
238,value for money
239,value for money
240,camera
241,display
242,value for money
243,camera
244,camera
245,display
246,value for money
247,performance
248,value for money
249,value for money
250,camera
251,value for money
252,performance
253,display
254,battery
255,display
256,value for money
257,performance
258,performance
259,camera
260,performance
261,camera
262,performance
263,value for money
264,camera
265,display
266,performance
267,display
268,display
269,camera
270,performance
271,value for money
272,performance
273,camera
274,display
275,display
276,camera
277,performance
278,camera
279,value for money
280,camera
281,performance
282,display
283,camera
284,display
285,camera
286,camera
287,performance
288,performance
289,camera
290,camera
291,value for money
292,display
293,camera
294,performance
295,value for money
296,value for money
297,value for money
298,camera
299,camera
300,camera
301,camera
302,value for money
303,camera
304,value for money
305,value for money
306,camera
307,camera
308,performance
309,performance
310,performance
311,performance
312,performance
313,display
314,camera
315,camera
316,camera
317,camera
318,camera
319,camera
320,camera
321,display
322,performance
323,performance
324,display
325,value for money
326,value for money
327,camera
328,camera
329,camera
330,battery
331,camera
332,value for money
333,camera
334,display
335,performance
336,performance
337,camera
338,camera
339,camera
